Common-Name,Location-Direct,Lat,Lng,Distance-to-NYC,Ebird-Link,Copy-Direct,Image-Link
Wood Thrush,Maine,44.67,-70.15,375,https://ebird.org/species/woothr,"Often found 'thrushing' about on the forest floor, many Wood Thrush spend their summers breeding as far north as Maine, while others opt for a summer in New York City. Those who live in Maine travel around 520 miles to NYC as winter encroaches (just like you do when the school year starts!), before continuing south to Central America for the winter. Listen for their fluttering, flutelike song over our green paths, and look out for their polka-dotted chests puffed out gallantly in Central Park's Ramble. ",https://www.allaboutbirds.org/guide/assets/photo/652015887-1900px.jpg
Short Billed Dowitcher,Cuba,21.40,-78.30,"1345",https://ebird.org/species/shbdow ,"Short Billed Dowtichers, intricately feathered marsh birds, migrate through New York City during fall and spring migrations, either returning from or journeying the 1,350 miles (just as far as you traveled to NYC!) to Cuba, where they spend the winter in slightly grayer plumage. The Short Billed Dowticher is often seen purusing the pond-shores in Central and Prospect Park. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/153902891/2400
Hudsonian Whimbrel,Massachusetts ,42.36,-72.28,190,https://ebird.org/species/whimbr,"From northern Canada to as far south as Antartica, these elegant shorebirds pass through Massachusetts, then travel 150 miles south to New York City; the same distance you traveled to get here! They use their crescent-shaped beaks to feed from the beaches of NYC, such as Rockaway, and can be found in the city during fall and spring migrations. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650328633/2400
Semipalmated Sandpiper,Dominican Republic,18.97,-70.23,1515,https://ebird.org/species/semsan,"Semipalmated Sandpipers always seem to be in motion. As soon as the winter ends, many of these shorebirds leave their nesting sites in the Dominican Republic and fly 1,520 miles to NYC (just as far as you traveled to the city!), before continuing north to Canada. During the spring and fall migrations, these petite, iconic shorebirds are found all around NYC's shores, but especially Breezy Point Tip in Queens. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650143719/2400
Ruddy Turnstone,Panama,8.66,-80.23,2255,https://media.ebird.org/catalog?birdOnly=true&taxonCode=rudtur&mediaType=photo&regionCode=US-NY-061,"Ruddy Turnstones are named such beacuse they use their stout beaks to turn over rocks on the beach and eat the insects hiding beneath. If you see a Ruddy Turnstone at Coney Island or Rockaway Beach in the spring, there's a good chance they've just traveled around 2,255 miles from nesting sites in Panama, just about as far as you came from your home to get here. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650762334/2400
Red Knot ,Newfoundland and Labrador,48.61,-56.33,"1150",https://ebird.org/species/redkno ,"The striking Red Knots are shorebirds who migrate from Greenland, through Newfoundland and Labrador in nothern Canada, and then through New York City, traveling 1,100 miles (just like you!). In NYC's Jamaica Bay Wildlife Refuge and surrounding coasts, many Red Knots spend their winters feeding on the eggs of Horseshoe Crabs.",https://cdn.download.ams.birds.cornell.edu/api/v1/asset/301244501/2400
Red Knot,Chile,-34.36,-71.29,4990,https://ebird.org/species/redkno ,"Some Red Knots spend the South American summers (North American winters) in Chile before traveling around 4,990 miles north (just as far as you traveled!) to New York City on their way to breeding grounds further north. In the spring and fall you may find some of these traveling, striking shorebirds feeding on Horseshoe Crab eggs in Jamaica Bay Wildlife Refuge and surrounding coasts.",https://cdn.download.ams.birds.cornell.edu/api/v1/asset/301244501/2400
Prairie Warbler,Jamaica ,18.07,-77.52,"1570",https://ebird.org/species/prawar,"A speck of yellow flitting through the thickets of Jamaica in the winter, many Prairie Warblers heads north around 1,575 miles to New York City for the summer, a journey just as long as yours. Listen for the rising, scaling song of Prairie Warblers in Central Park's Ramble during the summer, often against the backdrop of conifers. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/642196588/2400
Piping Plover,New Jersey,40.77,-74.66,45,https://ebird.org/species/pipplo,"This iconic shorebird, known for their diminutive size, quick gait, and black collar, can be found darting about on Rockaway Beach, as well 20 miles away on New Jersey's Sandy Hook. You may have seen signs which warn you not to walk on the inland sand on beaches, as the endangered Piping Plovers tend to lay their eggs just beneath the sand.",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650719847/2400
Olive-sided Flycatcher,Colombia,6.25,-75.56,"2540",https://media.ebird.org/catalog?birdOnly=true&taxonCode=olsfly&mediaType=photo&regionCode=US-NY-061,"""Quick, three beers!"" the Olive-Sided Flycatchers seem to screech during fall and spring migrations. Flying from Colombia to New York City, they travel around 1,500 miles to reach the city, just like you. Look out for these husky pewee birds, often perched in the open tops of dead trees or conifers in Prospect Park. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/640472562/2400
Northern Pintail,El Salvador ,13.53,-88.66,"2065",https://ebird.org/species/norpin,"With sleek lines of plumage and an unmistakable white chest, some Northern Pintails spend their winters in El Salvador, only to travel 2,800 miles to New York City on their way north — making a similar journey to you on your way to the city! In New York City’s cooler months, you can spot them gliding on open water, like ponds in Prospect Park, or along the Hudson River’s edge. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650765028/2400
Long-tailed Duck,Maryland,39.32,-76.64,180,https://ebird.org/species/lotduc,"Striking Long-Tailed Ducks don an exqusitie black-and-white winter suit, with the males sporting long tail feathers. Some of these ducks spend their winters in Maryland, traveling around 195 miles to NYC (just like you!), before continuing north. In the fall and spring, they can be seen bobbing beyond the breakers at Rockaway Beach, or off Coney Island. Listen for their yodel-like call, echoing over the water. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650519379/2400
Least Tern,Haiti,18.54,-72.33,"1505",https://ebird.org/species/leater1,"Quick as a dart and not much bigger, the Least Tern flashes a sharp black cap and a traffic-cone orange bill as they dive for fish. After spending the winter along the coast of Carribean countries like Haiti, some return 1,500 miles north to summer in New York City (the same distance that you travel to get here!). Here, they spend time on sandy stretches of the New York coast, like Rockaway Beach. Watching one hover, wings flickering, before dropping like a pebble into the surf is a summer can't-miss activity.",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650433069/2400
Horned Grebe,Florida,27.60,-81.29,945,https://ebird.org/species/horgre,"In breeding season, the Horned Grebe, a compact diving bird, erupts with color—from ruby-red eyes to golden 'horns' on either side of their heads. Some spend their winters in Florida, then trek around 945 miles north during migration to unite with the small numbers who hang around in NYC’s colder waters, before heading northwest for the summer. Look for them at Jamaica Bay Wildlife Refuge or further offshore, often holding their young on their backs.",https://cdn.download.ams.birds.cornell.edu/api/v1/asset/630276801/2400
Red-Tailed Hawk,New York ,40.73,-74.00,0,https://ebird.org/species/rethaw,"Casting a huge, broad-winged shadow over Manhattan's brick buildings, the rusty coloration of the Red-Tailed Hawk's plumage blends in year-round with perches on 5th Ave buildings—or, in the famous case of the pair Bobby and Violet, the twelfth floor of NYU's Bobst Library. Red-Tailed Hawks in the countryside tend to nest no closer than a mile from each other, wheras, just like us, NYC hawks are much more comfortable living closer together, nesting only a few blocks from each other, sometimes with overlapping territories.",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650774505/2400
Greater Yellowlegs ,Argentina,-31.68,-64.24,"5200",https://ebird.org/species/greyel,"After wintering as far as the delta wetlands of Argentina, Greater Yellowlegs travel around 5,200 miles to NYC, just like you! In the fall and spring, they peruse Jamaica Bay's tidal pools — listen for their sharp, ringing calls across the marsh as they delicately pick through the shallows on vibrant yellow-orange legs. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/641468331/2400
Greater Yellowlegs ,Paraguay ,-22.82,-58.57,"4555",https://ebird.org/species/greyel,"After wintering as far as the delta wetlands of Paraguay, Greater Yellowlegs travel around 5,200 miles to NYC, just like you! In the fall and spring, they peruse Jamaica Bay's tidal pools — listen for their sharp, ringing calls across the marsh as they delicately pick through the shallows on vibrant yellow-orange legs. ",
Golden Winged Warbler ,Guatemala,14.68,-90.32,"1995",https://ebird.org/species/gowwar,"Some of these woodland warblers spend their winters in Guatemala before venturing around 1,995 miles to New York City (just like you did, on your travels here), before continuing north to Canada to breed. Golden-Winged Warblers don crowns and shoulderplates of vibrant gold, and can be found on the high tree branches of Central Park's North Woods during the fall and spring. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/628450628/2400
Golden Winged Warbler ,Nicaragua,12.84,-85.12,"2050",https://ebird.org/species/gowwar,"Some of these woodland warblers spend their winters in Nicaragua before venturing around 2,005 miles to New York City (just like you did, on your travels here), before continuing north to Canada to breed. Golden-Winged Warblers don crowns and shoulderplates of vibrant gold, and can be found on the high tree branches of Central Park's North Woods during the fall and spring. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/628450628/2400
Eastern Whip-poor-will,Pennsylvania ,40.27,-76.73,160,https://ebird.org/species/easwpw1,"""Everywhere the trembling air/ Re-echoed 'whip-poor-will!'/ 'Whippoorwill! Whippoorwill!'/ Sad and shrill, 'whippoorwill!'"", wrote the author and diplomat Henry Van Dyke. While maybe not as somber as Van Dyke's poem would have you believe, Eastern Whip-Poor-Wills can be heard more so than spotted on summer evenings in New York City, and all the way up until October in the Ramble in Central Park. During the summer breeding period, some individuals travel 160 miles from Pennsylvania to NYC, the same distance as you! Look for their fascinating mottled coats against the green of the trees! ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/623265571/2400
Chimney Swift ,Peru,-11.71,-76.47,"3450",https://ebird.org/species/chiswi,"Crescent-shaped and constantly in motion, Chimney Swifts posess such small legs that they are only able to cling vertically to surfaces (like chimneys), and are unable to perch out in the open. After wintering as far south as Peru, some Swifts dart around 3,450 miles north (just as far as you traveled!) to float high in the New York sky all summer, nesting inside brick chimneys across the boroughs. Look up over Washington Square Park at dusk to see them funneling into roosts, like smoke reversing course.",https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304087131/2400 
Chimney Swift ,Connecticut ,41.66,-72.67,95,https://ebird.org/species/chiswi,"Crescent-shaped and constantly in motion, Chimney Swifts posess such small legs that they are only able to cling vertically to surfaces (like chimneys), and are unable to perch out in the open. Some Swifts float high in the New York sky all summer, nesting inside brick chimneys across the boroughs. Before traveling south in the fall, many travel to NYC from nearby states, such as the some 95 miles from Connecticut (just as far as you traveled to NYC!). Look up over Washington Square Park at dusk to see them funneling into roosts, like smoke reversing course.",https://cdn.download.ams.birds.cornell.edu/api/v1/asset/304087131/2400 
Cerulean Warbler,Virginia,37.04,-78.61,290,https://ebird.org/species/cerwar,"These canopy-dwelling warblers, with backs the color of the blue sky, scatter a quick, trill birdsong down through the branches. After South American summers (aka our winters), some Cerulean Warblers pass through Virginia, then fly around 290 miles to New York City (just like you!). A number of Cerulean Warbler nest high in trees in Central Park's Ramble during the summer months, so don't forget to look up, and note that females are coated with light green feathers, in contrast to the blue of the males. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/635329423/2400
Dark Eyed Junco,Alabama,33.49,-86.98,895,https://ebird.org/species/daejun,"While a remarkably ubiquitious sparrow in North America, Dark-Eyed Juncos vary in plumage greatly across geographic distances. The individuals you may spot in New York City are best identified by their dark heads, white bellies, crisp tail feathers, and adorably rounded shape. If you see a Dark-Eyed Junco hopping about in spaces like Washington Square Park during fall and spring migrations, that means they've traveled around 895 miles (just like you did on your journey to the city) from southern states like Alabama. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/649692115/2400
Bobolink,New Hampshire,43.80,-71.81,210,https://ebird.org/species/boboli,"If you see a Bobolink in New York City during late summer or early fall, chances are they've traveled around 210 miles south to the city (just like you did!) from New Hampshire or Vermont. They're heading toward the promise of warmth, as far south as Argentina, before heading back north to do it all over again. When the Bobolink roams New York City's grassy open spaces, like on Randalls Island, the male blackbirds don dark underparts, and an unmistakable golden crown. Listen for a rather metallic squeaking, almost like R2D2—it's a call from your New England neighbors.   ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/636052421/2400
Bobolink,Vermont,43.73,-72.94,210,https://ebird.org/species/boboli,"If you see a Bobolink in New York City during late summer or early fall, chances are they've traveled around 210 miles south to the city (just like you did!) from New Hampshire or Vermont. They're heading toward the promise of warmth, as far south as Argentina, before heading back north to do it all over again. When the Bobolink roams New York City's grassy open spaces, like on Randalls Island, the male blackbirds don dark underparts, and an unmistakable golden crown. Listen for a rather metallic squeaking, almost like R2D2—it's a call from your New England neighbors.   ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/636052421/2400
Black-bellied Plover,North Carolina,34.84,-79.47,430,https://ebird.org/species/bkbplo,"For the males, these handsome shorebirds' silvery coats are traded for mottled white and black feathers with a solid black stripe down their front as winter ends. When the time comes, many journey around 630 miles from North and South Carolina (about how far you traveled to NYC!), north through New York City, and eventually to the northernmost parts of Canada for breeding. Look out for these traveling plovers, some of whom spend the whole winter wading through the mudflats at NYC's Jamaica Bay. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/651249381/2400 
Black-bellied Plover,South Carolina,34.84,-79.47,430,https://ebird.org/species/bkbplo,"For the males, these handsome shorebirds' silvery coats are traded for mottled white and black feathers with a solid black stripe down their front as winter ends. When the time comes, many journey around 630 miles from North and South Carolina (about how far you traveled to NYC!), north through New York City, and eventually to the northernmost parts of Canada for breeding. Look out for these traveling plovers, some of whom spend the whole winter wading through the mudflats at NYC's Jamaica Bay. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/651249381/2400 
Black Scoter,Quebec,51.06,-72.83,800,https://ebird.org/species/blksco2,"With what sounds to us like a rather somber, humanlike whistle, and bright orange bills against a charcoal-black body, the Black Scoter is unmistakable. If you spot one in New York City, often found bobbing along the waters of Coney Island in the winter, they have flown some 725 miles from Quebec, Canada—similar to the distance that you traveled to get to the city!",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650835885/2400
Common Grackle ,New York ,40.73,-74.00,0,https://ebird.org/species/comgra,"A perhaps underlooked native to New York City, these Grackles look anything but common. The males, especially, wear an irridescent patchwork of chromes all around piercing yellow eyes and a strong-looking beak. No strangers to the city, a group of Grackles (often referred to indelicately as a ""plague"" or ""annoyance"") can often be seen hanging out in Bryant Park.  ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650307153/2400
European Starling ,New York ,40.73,-74.00,0,https://ebird.org/species/eursta,"""Nay I’ll have a starling shall be taught to speak..."", writes Shakespeare, in Henry IV. European Starlings were brought here by a group wanting to bring all of the birds who Shakespeare mentioned to the Americas, and released into Central Park, where they can still be found (just like you!) year round. No matter how they got here, these intricately patterned New Yorkers, with points of white on the end of their sharp black chest feathers, possess (as The Bard notes) incredible mimicking talents and have been known to imitate the sounds of voices, machines or, in a viral video, R2D2. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/648547628/2400
Lincoln's Sparrow ,Mexico ,23.32,-101.74,"2035",https://ebird.org/species/linspa,"Gently speckled and crowned with soft brown lines, Lincoln’s Sparrows have an extra refined look among sparrows. Before and after wintering all across Mexico, migrants fly around 1,800 miles (just about as far as you!), to and from low shrubs in Prospect and Central Park. If you're looking to find a Lincoln's Sparrow, you should carefully scan low bushes in the fall and spring as many stand very still for long periods of time. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/646995337/2400
Ruby-Throated Hummingbird,Georgia,33.75,-84.39,"860",https://ebird.org/species/rthhum,"Although they may leave as early as September, Ruby-Throated Hummingbirds are a vibrant addition to NYC's summer bird community, flitting about Brooklyn birdfeeders and Fort Tyron Park. Males wear a collar of pure ruby and calcite, nearly blindingly colorful as they dart through sunbeams. On their way north from Central America, many of these hummingbirds will pass through the mountains of Georgia, before continuing 745 miles up to NYC—just like you! ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/645000408/2400
Blackpoll Warbler ,Rhode Island,41.82,-71.42,150,https://ebird.org/species/bkpwar,"These relatively large and neatly patterned songbirds are impressive athletes. When fall rolls around, many are known to travel down from northern summers through Rhode Island, continuing the around 150 miles south to New York City (as far as you came to NYC!), and eventually flyingnonstop for over 3 days to cross the Atlantic. They're also resourceful, utilizing cold fronts to boost them up from South America and into New York City as they continue north during the spring. In NYC's fall and spring, listen (if you can) for their impressively high-pitched chirping, and search for their greened hues high in the treetops of Washington Square Park. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/643954741/2400
Blackpoll Warbler ,Venezuela ,6.24,-65.76,"2380",https://ebird.org/species/bkpwar,"These relatively large and neatly patterned songbirds are impressive athletes. Many are known to fly nonstop for over 3 days to cross the Atlantic, to and from their winter nesting grounds in Venezuela around 2,380 miles away (just as far as you traveled to NYC!). They're also resourceful, utilizing cold fronts to boost them up from South America and into New York City as they continue north. In NYC's fall and spring, listen (if you can) for their impressively high-pitched chirping, and search for their greened hues high in the treetops of Washington Square Park. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/643954741/2400
American Woodcock ,West Virginia,38.70,-80.72,310,https://ebird.org/species/amewoo,"With deep-set eyes, rusty, mottled plumage, and a boxy beak, American Woodcocks are beautifully unique, and are known for performing both a dazzling airborne mating dance and a hypnotic headbob. If you spot an American Woodcock on the forest floor of NYC's Prospect Park in the summer, they've passed through West Virginia and Kentucky along the way, before continuing around 300 miles north to NYC, just as far as you traveled to get to the city!",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650810793/2400
Sanderling ,Puerto Rico,18.14,-66.43,"1620",https://ebird.org/species/sanderr,"Pale as seafoam and constantly in motion, the Sanderling chases waves up and down the shoreline on quick black legs in search of delicious sandcrabs and worms. After wintering along beaches in Puerto Rico, flocks sweep around 1,620 miles (just as far as you traveled!) north toward NYC’s coastlines, combining with groups that winter in NYC, to form a great ""peep"" of Sanderlings, often spotted on Governor's Island.",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/115518851/2400
Northern Flicker ,New York ,40.73,-74.00,0,https://ebird.org/species/norfli,"With polka-dotted chests and a dash of red on the backs of their necks, some Northern Flicker woodpeckers are native New Yorkers, just like you! They can often be found on tree trunks at Inwood Hill Park, searching for buried insects. If you're lucky enough to have one fly over you, delight in the colorful and intricate patterns on their feathered wings!",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/648248612/2400
Baltimore Oriole ,Costa Rica,9.90,-84.09,"2210",https://ebird.org/species/balori,"The oranges of a summer sunset and the dark of a winter night combine in one of the world's most striking birds. Baltimore Orioles fly around 2,210 miles north (the same distance you traveled here!), from warm Costa Rica winters to New York City's tallest trees. Here, they make themselves at home for the summer, creating intricate hanging nests often spotted in the highest trees on Staten Island's Freshkills Park, or Brooklyn's Prospect Park. Note that the females tend to have more yellow coloration. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/649846528/2400
Common Nighthawk,Brazil,-12.24,-52.87,"3710",https://ebird.org/species/comnig,"Common Nighthawks have, perhaps, some of the most fascinatingly patterned wings of the nightjar bird family. With a bright white stripe on their underwings, and an electric-sounding ""peent"" call, some of these birds chase insects around 3,710 miles, all the way from Brazilian rainforests (as far as you traveled here, too!) to New York City's Washington Square Park and surrounding rooftops, where they spend summer evenings. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650711085/2400
Yellow Rumped Warbler,Delaware ,38.93,-75.51,110,https://ebird.org/species/yerwar,"Nicknamed by humans as the “butter-butt” for the bright yellow patch above their tails, Yellow-Rumped Warblers are the only wintering warblers in New York City, often seen enjoying the public library—or at least its steps—at Bryant Park. These warblers also winter in nearby states like Delaware, before flying the 100 or so miles to join their New York City community (just like you did!) as they continue north to Canada. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/649729583/2400
Arctic Tern ,Antarctica, -79.5081, 16.3360,"7800",https://ebird.org/species/arcter,"Sharp and regal, Artic Terns complete the longest migration of any birds in the world, traveling the 25,000 miles from pole to pole and back each year (perhaps you can relate, with how far you've traveled to NYC!). Between a dizzying pilgrimage from Nunavut and Greenland all the way to Antartica, some of them can be seen blessing New York City off of Rockaway Beach, with their pointed orange beaks and elegant tail feathers. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650796413/2400
Arctic Tern ,Nunavut ,62.97,-97.22,"1660",https://ebird.org/species/arcter,"Sharp and regal, Artic Terns complete the longest migration of any birds in the world, traveling the 25,000 miles from pole to pole and back each year (perhaps you can relate, with how far you've traveled to NYC!). Between a dizzying pilgrimage from Nunavut and Greenland all the way to Antartica, some of them can be seen blessing New York City off of Rockaway Beach, with their pointed orange beaks and elegant tail feathers. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650796413/2400
Arctic Tern ,Greenland,65.30,-46.47,"2000",https://ebird.org/species/arcter,"Sharp and regal, Artic Terns complete the longest migration of any birds in the world, traveling the 25,000 miles from pole to pole and back each year (perhaps you can relate, with how far you've traveled to NYC!). Between a dizzying pilgrimage from Nunavut and Greenland all the way to Antartica, some of them can be seen blessing New York City off of Rockaway Beach, with their pointed orange beaks and elegant tail feathers. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650796413/2400